"ANO_MES","UF","Municipio_N","Diagnostico_N","QUANTIDADE"
"2012/03",1,"Cabixi","Abscesso",3
"2012/03",1,"Rolim de Moura","Abscesso",267
"2013/03",1,"Espigão d'Oeste","Abscesso",41
"2014/03",1,"Espigão d'Oeste","Abscesso",301
"2015/03",1,"Chupinguaia","Abscesso",2
"2016/03",1,"Nova Mamoré","Abscesso",1
"2016/03",1,"Pimenta Bueno","Abscesso",57
"2016/03",1,"Porto Velho","Abscesso",2
"2017/03",1,"Ministro Andreazza","Abscesso",127
"2017/03",1,"Rolim de Moura","Abscesso",22
"2018/03",1,"Buritis","Abscesso",5
"2018/03",1,"Ministro Andreazza","Abscesso",12
"2018/03",1,"Monte Negro","Abscesso",2
"2019/03",1,"Campo Novo de Rondônia","Abscesso",3
"2019/03",1,"Pimenteiras do Oeste","Abscesso",5
"2007/04",1,"Presidente Médici","Abscesso",2
"2008/04",1,"Rolim de Moura","Abscesso",51
"2009/04",1,"Vilhena","Abscesso",2
"2010/04",1,"São Felipe d'Oeste","Abscesso",110
"2010/04",1,"Vale do Paraíso","Abscesso",3
"2012/04",1,"Presidente Médici","Abscesso",1
"2013/04",1,"Espigão d'Oeste","Abscesso",230
"2014/04",1,"Rolim de Moura","Abscesso",97
"2015/04",1,"São Felipe d'Oeste","Abscesso",1
"2017/04",1,"Cacoal","Abscesso",392
"2017/04",1,"Campo Novo de Rondônia","Abscesso",1
"2017/04",1,"Monte Negro","Abscesso",1
"2018/04",1,"Espigão d'Oeste","Abscesso",47
"2019/04",1,"Buritis","Abscesso",5
"2019/04",1,"Cacoal","Abscesso",1049
"2019/04",1,"Colorado do Oeste","Abscesso",5
"2019/04",1,"Ministro Andreazza","Abscesso",1
"2019/04",1,"Rolim de Moura","Abscesso",688
"2006/05",1,"Rolim de Moura","Abscesso",9
"2007/05",1,"Rolim de Moura","Abscesso",56
"2008/05",1,"Rolim de Moura","Abscesso",214
"2009/05",1,"Pimenta Bueno","Abscesso",580
"2010/05",1,"Mirante da Serra","Abscesso",1
"2012/05",1,"Alto Alegre dos Parecis","Abscesso",1
"2012/05",1,"Rolim de Moura","Abscesso",192
"2013/05",1,"Nova União","Abscesso",1
"2013/05",1,"Porto Velho","Abscesso",2
"2014/05",1,"Cabixi","Abscesso",1
"2014/05",1,"Chupinguaia","Abscesso",1
"2015/05",1,"Buritis","Abscesso",1
"2015/05",1,"Pimenta Bueno","Abscesso",55
"2015/05",1,"São Francisco do Guaporé","Abscesso",1
"2016/05",1,"Pimenta Bueno","Abscesso",1
"2016/05",1,"Porto Velho","Abscesso",3
"2017/05",1,"Espigão d'Oeste","Abscesso",100
"2018/05",1,"Nova Mamoré","Abscesso",1
"2018/05",1,"Pimenteiras do Oeste","Abscesso",7
"2019/05",1,"Colorado do Oeste","Abscesso",5
"2019/05",1,"Pimenta Bueno","Abscesso",855
"2008/06",1,"Pimenta Bueno","Abscesso",389
"2009/06",1,"Chupinguaia","Abscesso",4
"2009/06",1,"Theobroma","Abscesso",1
"2009/06",1,"Vilhena","Abscesso",1
"2010/06",1,"Castanheiras","Abscesso",1
"2010/06",1,"Cerejeiras","Abscesso",3
"2010/06",1,"Rolim de Moura","Abscesso",1040
"2011/06",1,"Corumbiara","Abscesso",4
"2011/06",1,"Espigão d'Oeste","Abscesso",876
"2012/06",1,"Colorado do Oeste","Abscesso",2
"2012/06",1,"Rolim de Moura","Abscesso",388
"2012/06",1,"Vilhena","Abscesso",1
"2013/06",1,"Cacoal","Abscesso",73
"2013/06",1,"Colorado do Oeste","Abscesso",2
"2014/06",1,"Chupinguaia","Abscesso",1
"2014/06",1,"Colorado do Oeste","Abscesso",2
"2016/06",1,"Pimenta Bueno","Abscesso",57
"2017/06",1,"Presidente Médici","Abscesso",1
"2018/06",1,"Espigão d'Oeste","Abscesso",154
"2018/06",1,"São Felipe d'Oeste","Abscesso",1
"2019/06",1,"Ariquemes","Abscesso",1
"2019/06",1,"Ouro Preto do Oeste","Abscesso",1
"2006/07",1,"Cacoal","Abscesso",75
"2006/07",1,"Rolim de Moura","Abscesso",7
"2007/07",1,"Pimenta Bueno","Abscesso",5
"2009/07",1,"Pimenta Bueno","Abscesso",539
"2010/07",1,"Colorado do Oeste","Abscesso",6
"2010/07",1,"Pimenta Bueno","Abscesso",343
"2011/07",1,"Ariquemes","Abscesso",7
"2012/07",1,"Alto Alegre dos Parecis","Abscesso",1
"2012/07",1,"Chupinguaia","Abscesso",3
"2013/07",1,"Cabixi","Abscesso",2
"2013/07",1,"Porto Velho","Abscesso",3
"2015/07",1,"Porto Velho","Abscesso",20
"2015/07",1,"Vilhena","Abscesso",1
"2017/07",1,"Cacoal","Abscesso",53
"2017/07",1,"Candeias do Jamari","Abscesso",1
"2017/07",1,"Corumbiara","Abscesso",2
"2017/07",1,"Porto Velho","Abscesso",6
"2018/07",1,"Cabixi","Abscesso",6
"2018/07",1,"Nova Mamoré","Abscesso",3
"2018/07",1,"Pimenta Bueno","Abscesso",10
"2018/07",1,"Rolim de Moura","Abscesso",52
"2019/07",1,"Cacoal","Abscesso",4138
"2019/07",1,"Teixeirópolis","Abscesso",1
"2006/08",1,"São Felipe d'Oeste","Abscesso",16
"2007/08",1,"Ministro Andreazza","Abscesso",12
"2009/08",1,"Pimenteiras do Oeste","Abscesso",1
"2009/08",1,"Presidente Médici","Abscesso",136
"2012/08",1,"Corumbiara","Abscesso",2
"2012/08",1,"Rolim de Moura","Abscesso",561
"2013/08",1,"Cacoal","Abscesso",313
"2013/08",1,"Espigão d'Oeste","Abscesso",437
"2014/08",1,"Rolim de Moura","Abscesso",203
"2015/08",1,"Chupinguaia","Abscesso",3
"2015/08",1,"Nova Mamoré","Abscesso",2
"2017/08",1,"Cujubim","Abscesso",2
"2018/08",1,"Cacoal","Abscesso",26
"2018/08",1,"Corumbiara","Abscesso",6
"2019/08",1,"Cacoal","Abscesso",385
"2019/08",1,"Chupinguaia","Abscesso",7
"2019/08",1,"Governador Jorge Teixeira","Abscesso",3
"2019/08",1,"Nova Mamoré","Abscesso",1
"2019/08",1,"Pimenta Bueno","Abscesso",4
"2006/09",1,"Cacoal","Abscesso",100
"2006/09",1,"Candeias do Jamari","Abscesso",9
"2010/09",1,"Alta Floresta d'Oeste","Abscesso",1
"2010/09",1,"Governador Jorge Teixeira","Abscesso",1
"2010/09",1,"Vilhena","Abscesso",1
"2011/09",1,"Colorado do Oeste","Abscesso",1
"2011/09",1,"Rolim de Moura","Abscesso",46
"2011/09",1,"Santa Luzia d'Oeste","Abscesso",1
"2011/09",1,"Vilhena","Abscesso",1
"2012/09",1,"Alta Floresta d'Oeste","Abscesso",1
"2012/09",1,"Cacoal","Abscesso",194
"2012/09",1,"Colorado do Oeste","Abscesso",2
"2013/09",1,"Pimenta Bueno","Abscesso",39
"2015/09",1,"Ariquemes","Abscesso",1
"2015/09",1,"Cacoal","Abscesso",69
"2015/09",1,"Espigão d'Oeste","Abscesso",169
"2015/09",1,"Vilhena","Abscesso",1
"2016/09",1,"Cacoal","Abscesso",28
"2017/09",1,"Ariquemes","Abscesso",3
"2017/09",1,"Pimenteiras do Oeste","Abscesso",2
"2017/09",1,"Porto Velho","Abscesso",6
"2017/09",1,"Presidente Médici","Abscesso",1
"2018/09",1,"Cerejeiras","Abscesso",6
"2018/09",1,"Machadinho d'Oeste","Abscesso",1
"2018/09",1,"Nova União","Abscesso",2
"2018/09",1,"Pimenta Bueno","Abscesso",7
"2018/09",1,"Presidente Médici","Abscesso",1
"2018/09",1,"Seringueiras","Abscesso",1
"2019/09",1,"Alta Floresta d'Oeste","Abscesso",2
"2019/09",1,"Buritis","Abscesso",2
"2019/09",1,"Chupinguaia","Abscesso",20
"2019/09",1,"Corumbiara","Abscesso",5
"2019/09",1,"Pimenta Bueno","Abscesso",4
"2007/10",1,"Cacoal","Abscesso",107
"2007/10",1,"Candeias do Jamari","Abscesso",2
"2007/10",1,"Espigão d'Oeste","Abscesso",413
"2007/10",1,"Guajará-Mirim","Abscesso",5
"2008/10",1,"Chupinguaia","Abscesso",1
"2008/10",1,"Espigão d'Oeste","Abscesso",2541
"2009/10",1,"Cacaulândia","Abscesso",1
"2009/10",1,"Vilhena","Abscesso",1
"2010/10",1,"Espigão d'Oeste","Abscesso",1705
"2011/10",1,"Chupinguaia","Abscesso",8
"2012/10",1,"Corumbiara","Abscesso",9
"2013/10",1,"Chupinguaia","Abscesso",3
"2014/10",1,"Cacoal","Abscesso",312
"2014/10",1,"Candeias do Jamari","Abscesso",1
"2014/10",1,"Nova Mamoré","Abscesso",1
"2014/10",1,"Pimenteiras do Oeste","Abscesso",1
"2017/10",1,"Primavera de Rondônia","Abscesso",11
"2018/10",1,"Campo Novo de Rondônia","Abscesso",2
"2018/10",1,"Chupinguaia","Abscesso",18
"2018/10",1,"Colorado do Oeste","Abscesso",6
"2018/10",1,"Corumbiara","Abscesso",3
"2018/10",1,"Espigão d'Oeste","Abscesso",16
"2018/10",1,"Pimenta Bueno","Abscesso",12
"2018/10",1,"Porto Velho","Abscesso",1
"2018/10",1,"Presidente Médici","Abscesso",2
"2019/10",1,"Alta Floresta d'Oeste","Abscesso",2
"2007/11",1,"Cacoal","Abscesso",250
"2008/11",1,"Rolim de Moura","Abscesso",94
"2009/11",1,"Corumbiara","Abscesso",9
"2010/11",1,"Cacoal","Abscesso",1268
"2011/11",1,"Ariquemes","Abscesso",3
"2011/11",1,"Cacoal","Abscesso",361
"2011/11",1,"Colorado do Oeste","Abscesso",1
"2011/11",1,"Rolim de Moura","Abscesso",117
"2012/11",1,"Cerejeiras","Abscesso",1
"2013/11",1,"Cabixi","Abscesso",1
"2013/11",1,"Chupinguaia","Abscesso",3
"2013/11",1,"Pimenta Bueno","Abscesso",51
"2013/11",1,"Porto Velho","Abscesso",3
"2014/11",1,"Chupinguaia","Abscesso",10
"2014/11",1,"Pimenteiras do Oeste","Abscesso",1
"2015/11",1,"Porto Velho","Abscesso",4
"2016/11",1,"Alta Floresta d'Oeste","Abscesso",1
"2016/11",1,"Ariquemes","Abscesso",2
"2016/11",1,"Cabixi","Abscesso",1
"2017/11",1,"Cerejeiras","Abscesso",1
"2017/11",1,"Costa Marques","Abscesso",1
"2018/11",1,"Ariquemes","Abscesso",4
"2018/11",1,"Buritis","Abscesso",7
"2018/11",1,"Colorado do Oeste","Abscesso",2
"2018/11",1,"Mirante da Serra","Abscesso",1
"2018/11",1,"Pimenta Bueno","Abscesso",4
"2018/11",1,"São Miguel do Guaporé","Abscesso",1
"2019/11",1,"Cabixi","Abscesso",16
"2005/12",1,"Espigão d'Oeste","Abscesso",874
"2006/12",1,"Rolim de Moura","Abscesso",16
"2007/12",1,"Corumbiara","Abscesso",1
"2008/12",1,"Chupinguaia","Abscesso",7
"2009/12",1,"Cacoal","Abscesso",457
"2009/12",1,"Vale do Paraíso","Abscesso",4
"2010/12",1,"Cacoal","Abscesso",1170
"2010/12",1,"Ji-Paraná","Abscesso",1
"2010/12",1,"São Francisco do Guaporé","Abscesso",1
"2010/12",1,"Teixeirópolis","Abscesso",2
"2011/12",1,"Ariquemes","Abscesso",2
"2012/12",1,"Alta Floresta d'Oeste","Abscesso",1
"2013/12",1,"Candeias do Jamari","Abscesso",1
"2013/12",1,"Espigão d'Oeste","Abscesso",813
"2016/12",1,"Buritis","Abscesso",1
"2016/12",1,"Cacoal","Abscesso",52
"2017/12",1,"Alta Floresta d'Oeste","Abscesso",1
"2017/12",1,"Cacoal","Abscesso",126
"2017/12",1,"Primavera de Rondônia","Abscesso",4
"2018/12",1,"Cacoal","Abscesso",28
"2018/12",1,"Espigão d'Oeste","Abscesso",15
"2019/12",1,"Corumbiara","Abscesso",4
"2019/12",1,"Vilhena","Abscesso",3
"2006/01",1,"Presidente Médici","Abscesso",4
"2008/01",1,"Presidente Médici","Abscesso",15
"2008/01",1,"Rolim de Moura","Abscesso",31
"2009/01",1,"Rolim de Moura","Abscesso",119
"2010/01",1,"Corumbiara","Abscesso",1
"2010/01",1,"Parecis","Abscesso",5
"2012/01",1,"Ariquemes","Abscesso",5
"2012/01",1,"Vilhena","Abscesso",1
"2013/01",1,"Pimenteiras do Oeste","Abscesso",2
"2014/01",1,"Porto Velho","Abscesso",2
"2015/01",1,"Espigão d'Oeste","Abscesso",454
"2015/01",1,"Rolim de Moura","Abscesso",111
"2017/01",1,"Espigão d'Oeste","Abscesso",31
"2019/01",1,"Cacoal","Abscesso",6
"2019/01",1,"Ouro Preto do Oeste","Abscesso",1
"2008/02",1,"Guajará-Mirim","Abscesso",5
"2008/02",1,"Rolim de Moura","Abscesso",184
"2009/02",1,"Ji-Paraná","Abscesso",1
"2009/02",1,"Rolim de Moura","Abscesso",771
"2010/02",1,"Pimenta Bueno","Abscesso",413
"2011/02",1,"Alta Floresta d'Oeste","Abscesso",3
"2011/02",1,"Colorado do Oeste","Abscesso",2
"2011/02",1,"Corumbiara","Abscesso",5
"2012/02",1,"Pimenta Bueno","Abscesso",38
"2013/02",1,"Colorado do Oeste","Abscesso",3
"2014/02",1,"Ariquemes","Abscesso",2
"2015/02",1,"Alto Paraíso","Abscesso",1
"2015/02",1,"Vale do Paraíso","Abscesso",1
"2016/02",1,"Ministro Andreazza","Abscesso",7
"2017/02",1,"Candeias do Jamari","Abscesso",2
"2017/02",1,"Pimenteiras do Oeste","Abscesso",3
"2018/02",1,"Chupinguaia","Abscesso",1
"2019/02",1,"Buritis","Abscesso",1
"2019/02",1,"Cerejeiras","Abscesso",3
"2019/02",1,"Corumbiara","Abscesso",9
"2007/03",1,"Rolim de Moura","Abscesso",60
"2009/03",1,"Primavera de Rondônia","Abscesso",1
"2010/03",1,"Ministro Andreazza","Abscesso",70
"2011/03",1,"Alta Floresta d'Oeste","Abscesso",2
"2012/03",1,"Colorado do Oeste","Abscesso",2
"2013/03",1,"Cerejeiras","Abscesso",1
"2016/03",1,"Cacoal","Abscesso",132
"2016/03",1,"Chupinguaia","Abscesso",1
"2016/03",1,"Colorado do Oeste","Abscesso",1
"2016/03",1,"Espigão d'Oeste","Abscesso",120
"2017/03",1,"Buritis","Abscesso",4
"2017/03",1,"Cacoal","Abscesso",31
"2017/03",1,"Guajará-Mirim","Abscesso",1
"2017/03",1,"Vilhena","Abscesso",1
"2018/03",1,"Campo Novo de Rondônia","Abscesso",3
"2018/03",1,"Colorado do Oeste","Abscesso",6
"2018/03",1,"Corumbiara","Abscesso",2
"2018/03",1,"Primavera de Rondônia","Abscesso",4
"2019/03",1,"Ariquemes","Abscesso",1
"2019/03",1,"Buritis","Abscesso",2
"2019/03",1,"Cacoal","Abscesso",14
"2019/03",1,"Machadinho d'Oeste","Abscesso",1
"2019/03",1,"São Felipe d'Oeste","Abscesso",5
"2007/04",1,"Espigão d'Oeste","Abscesso",228
"2007/04",1,"Pimenta Bueno","Abscesso",38
"2008/04",1,"Chupinguaia","Abscesso",3
"2008/04",1,"Corumbiara","Abscesso",1
"2009/04",1,"Ariquemes","Abscesso",2
"2009/04",1,"Colorado do Oeste","Abscesso",2
"2009/04",1,"Vale do Paraíso","Abscesso",1
"2010/04",1,"Parecis","Abscesso",1
"2012/04",1,"Pimenta Bueno","Abscesso",116
"2013/04",1,"Cabixi","Abscesso",2
"2013/04",1,"Vilhena","Abscesso",2
"2014/04",1,"Pimenta Bueno","Abscesso",48
"2014/04",1,"Pimenteiras do Oeste","Abscesso",2
"2015/04",1,"Machadinho d'Oeste","Abscesso",1
"2016/04",1,"Corumbiara","Abscesso",1
"2016/04",1,"Guajará-Mirim","Abscesso",1
"2017/04",1,"Alta Floresta d'Oeste","Abscesso",1
"2017/04",1,"Parecis","Abscesso",1
"2017/04",1,"Pimenta Bueno","Abscesso",7
"2018/04",1,"Alvorada d'Oeste","Abscesso",1
"2018/04",1,"Pimenta Bueno","Abscesso",22
"2018/04",1,"Presidente Médici","Abscesso",1
"2018/04",1,"Rolim de Moura","Abscesso",37
"2019/04",1,"Cerejeiras","Abscesso",3
"2019/04",1,"Espigão d'Oeste","Abscesso",944
"2019/04",1,"Pimenteiras do Oeste","Abscesso",4
"2019/04",1,"Presidente Médici","Abscesso",2
"2006/05",1,"Espigão d'Oeste","Abscesso",308
"2008/05",1,"Ministro Andreazza","Abscesso",7
"2009/05",1,"Espigão d'Oeste","Abscesso",1726
"2010/05",1,"Cerejeiras","Abscesso",3
"2011/05",1,"Ariquemes","Abscesso",1
"2011/05",1,"Corumbiara","Abscesso",4
"2012/05",1,"Colorado do Oeste","Abscesso",2
"2012/05",1,"Pimenta Bueno","Abscesso",65
"2013/05",1,"Corumbiara","Abscesso",3
"2013/05",1,"Governador Jorge Teixeira","Abscesso",1
"2014/05",1,"Machadinho d'Oeste","Abscesso",1
"2014/05",1,"Nova Mamoré","Abscesso",1
"2017/05",1,"Chupinguaia","Abscesso",2
"2017/05",1,"Ministro Andreazza","Abscesso",21
"2018/05",1,"Ji-Paraná","Abscesso",1
"2018/05",1,"São Felipe d'Oeste","Abscesso",9
"2019/05",1,"Buritis","Abscesso",3
"2019/05",1,"Corumbiara","Abscesso",4
"2019/05",1,"São Felipe d'Oeste","Abscesso",106
"2009/06",1,"Candeias do Jamari","Abscesso",1
"2010/06",1,"Ministro Andreazza","Abscesso",182
"2010/06",1,"Ouro Preto do Oeste","Abscesso",1
"2011/06",1,"Ariquemes","Abscesso",5
"2011/06",1,"Santa Luzia d'Oeste","Abscesso",2
"2013/06",1,"Corumbiara","Abscesso",3
"2013/06",1,"Rolim de Moura","Abscesso",126
"2015/06",1,"Candeias do Jamari","Abscesso",1
"2016/06",1,"Candeias do Jamari","Abscesso",1
"2016/06",1,"Porto Velho","Abscesso",7
"2017/06",1,"Guajará-Mirim","Abscesso",1
"2017/06",1,"Porto Velho","Abscesso",2
"2018/06",1,"Corumbiara","Abscesso",13
"2018/06",1,"Pimenteiras do Oeste","Abscesso",3
"2018/06",1,"Porto Velho","Abscesso",1
"2018/06",1,"Teixeirópolis","Abscesso",2
"2019/06",1,"Castanheiras","Abscesso",1
"2019/06",1,"Chupinguaia","Abscesso",2
"2019/06",1,"Primavera de Rondônia","Abscesso",235
"2007/07",1,"Machadinho d'Oeste","Abscesso",2
"2007/07",1,"Nova Mamoré","Abscesso",2
"2007/07",1,"Rolim de Moura","Abscesso",77
"2009/07",1,"Alto Alegre dos Parecis","Abscesso",1
"2009/07",1,"Ministro Andreazza","Abscesso",109
"2009/07",1,"Monte Negro","Abscesso",1
"2009/07",1,"Primavera de Rondônia","Abscesso",1
"2010/07",1,"Corumbiara","Abscesso",6
"2010/07",1,"Primavera de Rondônia","Abscesso",1
"2012/07",1,"Cacoal","Abscesso",559
"2013/07",1,"Candeias do Jamari","Abscesso",1
"2013/07",1,"Pimenta Bueno","Abscesso",46
"2013/07",1,"Rolim de Moura","Abscesso",79
"2015/07",1,"Chupinguaia","Abscesso",1
"2015/07",1,"Rio Crespo","Abscesso",1
"2015/07",1,"Rolim de Moura","Abscesso",347
"2016/07",1,"Cacoal","Abscesso",44
"2016/07",1,"São Felipe d'Oeste","Abscesso",7
"2017/07",1,"Cerejeiras","Abscesso",1
"2017/07",1,"Chupinguaia","Abscesso",9
"2017/07",1,"Vilhena","Abscesso",2
"2018/07",1,"Ariquemes","Abscesso",3
"2018/07",1,"Campo Novo de Rondônia","Abscesso",2
"2018/07",1,"Pimenteiras do Oeste","Abscesso",14
"2018/07",1,"São Miguel do Guaporé","Abscesso",1
"2018/07",1,"Vale do Anari","Abscesso",1
"2019/07",1,"Jaru","Abscesso",2
"2019/07",1,"Ji-Paraná","Abscesso",1
"2019/07",1,"Monte Negro","Abscesso",1
"2019/07",1,"Pimenta Bueno","Abscesso",2358
"2007/08",1,"Espigão d'Oeste","Abscesso",395
"2007/08",1,"Rolim de Moura","Abscesso",9
"2009/08",1,"Cacoal","Abscesso",234
"2010/08",1,"Rolim de Moura","Abscesso",577
"2013/08",1,"Colorado do Oeste","Abscesso",1
"2013/08",1,"Corumbiara","Abscesso",1
"2013/08",1,"Pimenteiras do Oeste","Abscesso",1
"2014/08",1,"Cacoal","Abscesso",132
"2017/08",1,"Cacoal","Abscesso",75
"2017/08",1,"Corumbiara","Abscesso",1
"2017/08",1,"Espigão d'Oeste","Abscesso",204
"2017/08",1,"Ministro Andreazza","Abscesso",11
"2018/08",1,"Alta Floresta d'Oeste","Abscesso",1
"2018/08",1,"Alto Alegre dos Parecis","Abscesso",2
"2018/08",1,"Cerejeiras","Abscesso",1
"2018/08",1,"Seringueiras","Abscesso",1
"2019/08",1,"Corumbiara","Abscesso",6
"2019/08",1,"Pimenteiras do Oeste","Abscesso",3
"2019/08",1,"Presidente Médici","Abscesso",1
"2006/09",1,"Campo Novo de Rondônia","Abscesso",1
"2006/09",1,"Pimenta Bueno","Abscesso",28
"2006/09",1,"Presidente Médici","Abscesso",6
"2007/09",1,"Pimenta Bueno","Abscesso",15
"2010/09",1,"Cacoal","Abscesso",898
"2010/09",1,"Chupinguaia","Abscesso",9
"2010/09",1,"Santa Luzia d'Oeste","Abscesso",4
"2010/09",1,"São Felipe d'Oeste","Abscesso",128
"2011/09",1,"Cacoal","Abscesso",436
"2011/09",1,"Chupinguaia","Abscesso",3
"2011/09",1,"Corumbiara","Abscesso",1
"2011/09",1,"Espigão d'Oeste","Abscesso",609
"2011/09",1,"Pimenteiras do Oeste","Abscesso",1
"2012/09",1,"Corumbiara","Abscesso",8
"2013/09",1,"Porto Velho","Abscesso",3
"2014/09",1,"Colorado do Oeste","Abscesso",1
"2015/09",1,"Pimenta Bueno","Abscesso",42
"2016/09",1,"Vilhena","Abscesso",1
"2017/09",1,"Chupinguaia","Abscesso",5
"2017/09",1,"Primavera de Rondônia","Abscesso",3
"2017/09",1,"São Felipe d'Oeste","Abscesso",5
"2018/09",1,"Buritis","Abscesso",2
"2018/09",1,"Ministro Andreazza","Abscesso",1
"2018/09",1,"Vilhena","Abscesso",6
"2019/09",1,"Ouro Preto do Oeste","Abscesso",1
"2019/09",1,"Rolim de Moura","Abscesso",2
"2006/10",1,"São Felipe d'Oeste","Abscesso",29
"2007/10",1,"Alto Paraíso","Abscesso",6
"2007/10",1,"Ministro Andreazza","Abscesso",22
"2007/10",1,"Porto Velho","Abscesso",44
"2007/10",1,"Presidente Médici","Abscesso",18
"2008/10",1,"Ministro Andreazza","Abscesso",57
"2010/10",1,"Alta Floresta d'Oeste","Abscesso",1
"2010/10",1,"Ariquemes","Abscesso",10
"2010/10",1,"Cabixi","Abscesso",4
"2010/10",1,"Cacoal","Abscesso",1071
"2012/10",1,"Espigão d'Oeste","Abscesso",81
"2012/10",1,"Vilhena","Abscesso",3
"2015/10",1,"Porto Velho","Abscesso",1
"2015/10",1,"Vilhena","Abscesso",1
"2017/10",1,"Chupinguaia","Abscesso",7
"2017/10",1,"Pimenta Bueno","Abscesso",62
"2018/10",1,"Castanheiras","Abscesso",1
"2018/10",1,"Cerejeiras","Abscesso",14
"2018/10",1,"Monte Negro","Abscesso",3
"2019/10",1,"Cabixi","Abscesso",14
"2019/10",1,"Pimenta Bueno","Abscesso",1
"2006/11",1,"Pimenta Bueno","Abscesso",38
"2006/11",1,"São Felipe d'Oeste","Abscesso",18
"2007/11",1,"Pimenta Bueno","Abscesso",124
"2008/11",1,"Presidente Médici","Abscesso",95
"2009/11",1,"Colorado do Oeste","Abscesso",1
"2009/11",1,"Rolim de Moura","Abscesso",554
"2010/11",1,"Cabixi","Abscesso",3
"2010/11",1,"Cerejeiras","Abscesso",1
"2010/11",1,"Pimenta Bueno","Abscesso",128
"2010/11",1,"São Felipe d'Oeste","Abscesso",1
"2011/11",1,"Chupinguaia","Abscesso",10
"2011/11",1,"Corumbiara","Abscesso",4
"2012/11",1,"Cacoal","Abscesso",110
"2013/11",1,"Pimenteiras do Oeste","Abscesso",1
"2016/11",1,"Campo Novo de Rondônia","Abscesso",1
"2017/11",1,"Ariquemes","Abscesso",2
"2017/11",1,"Chupinguaia","Abscesso",1
"2017/11",1,"Governador Jorge Teixeira","Abscesso",1
"2018/11",1,"Alto Paraíso","Abscesso",2
"2018/11",1,"Cacoal","Abscesso",19
"2018/11",1,"Cerejeiras","Abscesso",6
"2019/11",1,"Chupinguaia","Abscesso",13
"2006/12",1,"Espigão d'Oeste","Abscesso",354
"2007/12",1,"Chupinguaia","Abscesso",1
"2008/12",1,"Corumbiara","Abscesso",2
"2009/12",1,"Espigão d'Oeste","Abscesso",1479
"2009/12",1,"Ministro Andreazza","Abscesso",117
"2009/12",1,"Presidente Médici","Abscesso",1
"2010/12",1,"Corumbiara","Abscesso",3
"2010/12",1,"Ouro Preto do Oeste","Abscesso",4
"2010/12",1,"Rolim de Moura","Abscesso",697
"2011/12",1,"Espigão d'Oeste","Abscesso",426
"2011/12",1,"Rolim de Moura","Abscesso",156
"2012/12",1,"Cacoal","Abscesso",204
"2012/12",1,"Colorado do Oeste","Abscesso",2
"2012/12",1,"Espigão d'Oeste","Abscesso",46
"2013/12",1,"Chupinguaia","Abscesso",5
"2013/12",1,"Nova Mamoré","Abscesso",1
"2013/12",1,"Porto Velho","Abscesso",1
"2013/12",1,"Rolim de Moura","Abscesso",196
"2014/12",1,"Ariquemes","Abscesso",1
"2014/12",1,"Rolim de Moura","Abscesso",168
"2015/12",1,"Cacoal","Abscesso",39
